date,FIX - USD,BTMU,Barclays,BOA,Citi,Credit Suisse,Deutsche,HBOS,HSBC,JPM,Lloyds,RBS,UBS,WestLB
04/01/2005,2.57,2.57,2.57,2.56,2.57,2.57,2.58,2.57,2.57,2.57,2.57,2.57,2.57,2.57
05/01/2005,2.59,2.59,2.59,2.59,2.59,2.59,2.6,2.59,2.59,2.59,2.59,2.59,2.59,2.59
06/01/2005,2.61,2.61,2.61,2.62,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61
07/01/2005,2.61,2.61,2.61,2.62,2.61,2.61,2.62,2.61,2.61,2.62,2.61,2.61,2.61,2.61
10/01/2005,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62
11/01/2005,2.63,2.63,2.63,2.64,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63
12/01/2005,2.64,2.64,2.64,2.65,2.64,2.64,2.65,2.64,2.64,2.63,2.64,2.63,2.64,2.64
13/01/2005,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
14/01/2005,2.66,2.66,2.66,2.67,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.64,2.66
17/01/2005,2.67,2.67,2.67,2.67,2.67,2.67,2.665,2.67,2.67,2.67,2.67,2.67,2.64,2.67
18/01/2005,2.67,2.68,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.68,2.67,2.67,2.67,2.67
19/01/2005,2.68,2.68,2.68,2.69,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
20/01/2005,2.6925,2.69,2.7,2.7,2.69,2.7,2.69,2.7,2.69,2.69,2.69,2.69,2.7,2.69
21/01/2005,2.7,2.7,2.7,2.7,2.7,2.7,2.71,2.7,2.7,2.7,2.7,2.7,2.7,2.7
24/01/2005,2.7,2.7,2.7,2.7,2.7,2.7,2.715,2.7,2.7,2.7,2.7,2.7,2.7,2.7
25/01/2005,2.7,2.71,2.7,2.7,2.7,2.7,2.71,2.7,2.7,2.7,2.7,2.7,2.71,2.7
26/01/2005,2.71,2.72,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71
27/01/2005,2.73,2.73,2.73,2.73,2.725,2.73,2.72,2.72,2.73,2.73,2.73,2.73,2.73,2.73
28/01/2005,2.7425,2.74,2.75,2.75,2.745,2.745,2.745,2.74,2.74,2.74,2.75,2.74,2.74,2.745
31/01/2005,2.75,2.75,2.75,2.75,2.75,2.75,2.74,2.75,2.75,2.74,2.75,2.75,2.75,2.75
01/02/2005,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
02/02/2005,2.75,2.75,2.75,2.77,2.75,2.755,2.755,2.75,2.75,2.76,2.75,2.75,2.75,2.75
03/02/2005,2.77,2.77,2.77,2.77,2.77,2.77,2.775,2.77,2.77,2.77,2.77,2.77,2.77,2.77
04/02/2005,2.77,2.77,2.77,2.77,2.77,2.77,2.775,2.77,2.77,2.77,2.77,2.77,2.77,2.77
07/02/2005,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77
08/02/2005,2.77063,2.77,2.77,2.77,2.775,2.77,2.78,2.77,2.77,2.78,2.77,2.77,2.77,2.77
09/02/2005,2.77438,2.78,2.77,2.78,2.77,2.775,2.78,2.78,2.77,2.78,2.77,2.77,2.77,2.775
10/02/2005,2.79,2.79,2.79,2.8,2.79,2.79,2.79,2.79,2.79,2.79,2.78,2.78,2.79,2.785
11/02/2005,2.79438,2.8,2.79,2.8,2.79,2.79,2.79,2.8,2.8,2.8,2.79,2.8,2.79,2.795
14/02/2005,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
15/02/2005,2.81,2.81,2.81,2.81,2.805,2.8,2.805,2.81,2.81,2.81,2.81,2.81,2.8,2.81
16/02/2005,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82
17/02/2005,2.8475,2.85,2.85,2.84,2.85,2.85,2.82,2.84,2.84,2.85,2.85,2.84,2.85,2.85
18/02/2005,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.84,2.85,2.85,2.84,2.85,2.85
21/02/2005,2.86,2.86,2.86,2.87,2.86,2.86,2.865,2.86,2.86,2.86,2.86,2.86,2.85,2.86
22/02/2005,2.87,2.87,2.87,2.88,2.87,2.87,2.875,2.87,2.87,2.87,2.87,2.86,2.87,2.87
23/02/2005,2.87313,2.88,2.87,2.88,2.87,2.87,2.875,2.87,2.88,2.88,2.87,2.87,2.88,2.87
24/02/2005,2.89,2.9,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
25/02/2005,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91
28/02/2005,2.92,2.92,2.92,2.93,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
01/03/2005,2.93,2.93,2.93,2.94,2.93,2.93,2.92,2.93,2.93,2.93,2.93,2.93,2.94,2.93
02/03/2005,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94
03/03/2005,2.95,2.95,2.95,2.96,2.95,2.95,2.95,2.94,2.95,2.95,2.95,2.95,2.95,2.95
04/03/2005,2.95875,2.96,2.95,2.96,2.955,2.955,2.96,2.96,2.96,2.96,2.95,2.95,2.96,2.95
07/03/2005,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
08/03/2005,2.97,2.97,2.97,2.96,2.97,2.97,2.96,2.97,2.97,2.97,2.97,2.97,2.97,2.97
09/03/2005,2.98,2.98,2.98,2.97,2.98,2.98,2.97,2.98,2.98,2.98,2.98,2.98,2.98,2.98
10/03/2005,3,3,3,3,3,3,2.995,3,3,3,3,3,3,3
11/03/2005,3.01,3.01,3.01,3.01,3.01,3.01,3,3.01,3.01,3.01,3.01,3.01,3.01,3.01
14/03/2005,3.02,3.02,3.02,3.01,3.025,3.02,3.01,3.02,3.02,3.03,3.02,3.02,3.02,3.02
15/03/2005,3.03,3.03,3.03,3.03,3.03,3.03,3.025,3.03,3.03,3.03,3.03,3.03,3.03,3.03
16/03/2005,3.04,3.04,3.04,3.05,3.04,3.04,3.035,3.04,3.04,3.04,3.04,3.04,3.04,3.04
17/03/2005,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
18/03/2005,3.05,3.05,3.06,3.05,3.05,3.05,3.05,3.05,3.06,3.05,3.05,3.05,3.05,3.05
21/03/2005,3.0525,3.05,3.06,3.06,3.05,3.05,3.05,3.06,3.05,3.06,3.05,3.05,3.05,3.05
22/03/2005,3.06,3.06,3.06,3.07,3.06,3.06,3.055,3.06,3.06,3.06,3.06,3.06,3.06,3.05
23/03/2005,3.09,3.09,3.09,3.08,3.09,3.09,3.08,3.09,3.09,3.09,3.09,3.08,3.09,3.09
24/03/2005,3.09,3.09,3.09,3.1,3.09,3.09,3.085,3.09,3.09,3.1,3.09,3.09,3.09,3.09
29/03/2005,3.0925,3.1,3.09,3.1,3.09,3.09,3.08,3.09,3.1,3.1,3.09,3.09,3.1,3.09
30/03/2005,3.1,3.1,3.1,3.1,3.1,3.1,3.09,3.1,3.1,3.1,3.1,3.1,3.1,3.1
31/03/2005,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
01/04/2005,3.12,3.12,3.12,3.11,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
04/04/2005,3.12,3.11,3.12,3.11,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.11,3.12,3.12
05/04/2005,3.1225,3.12,3.13,3.11,3.13,3.12,3.13,3.12,3.12,3.13,3.13,3.12,3.12,3.12
06/04/2005,3.12313,3.13,3.13,3.11,3.125,3.12,3.125,3.12,3.12,3.13,3.12,3.12,3.12,3.12
07/04/2005,3.13,3.13,3.13,3.12,3.13,3.13,3.14,3.13,3.13,3.13,3.13,3.13,3.13,3.13
08/04/2005,3.13,3.13,3.13,3.12,3.13,3.13,3.135,3.13,3.13,3.13,3.13,3.13,3.13,3.13
11/04/2005,3.14,3.14,3.14,3.14,3.135,3.13,3.135,3.13,3.14,3.15,3.14,3.14,3.14,3.14
12/04/2005,3.14,3.14,3.14,3.13,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.15,3.14
13/04/2005,3.14063,3.14,3.14,3.14,3.145,3.145,3.145,3.145,3.14,3.14,3.14,3.14,3.14,3.14
14/04/2005,3.15,3.15,3.15,3.14,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.145,3.15
15/04/2005,3.15,3.15,3.15,3.14,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
18/04/2005,3.14475,3.15,3.14,3.14,3.14,3.15,3.15,3.14,3.15,3.15,3.15,3.15,3.148,3.14
19/04/2005,3.15,3.15,3.15,3.14,3.15,3.15,3.155,3.15,3.15,3.16,3.15,3.15,3.15,3.15
20/04/2005,3.15,3.15,3.15,3.15,3.15,3.15,3.16,3.15,3.15,3.15,3.15,3.15,3.15,3.15
21/04/2005,3.16063,3.16,3.17,3.16,3.165,3.165,3.175,3.17,3.16,3.16,3.16,3.16,3.16,3.16
22/04/2005,3.17,3.17,3.17,3.18,3.17,3.18,3.185,3.17,3.17,3.18,3.17,3.17,3.17,3.17
25/04/2005,3.18,3.18,3.18,3.18,3.18,3.18,3.19,3.18,3.17,3.18,3.18,3.17,3.173,3.18
26/04/2005,3.18688,3.19,3.19,3.18,3.185,3.185,3.185,3.19,3.19,3.19,3.18,3.18,3.19,3.18
27/04/2005,3.19,3.19,3.19,3.2,3.19,3.19,3.195,3.19,3.19,3.19,3.19,3.19,3.195,3.19
28/04/2005,3.21,3.21,3.21,3.22,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
29/04/2005,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
03/05/2005,3.21938,3.22,3.22,3.21,3.22,3.22,3.22,3.22,3.21,3.22,3.22,3.22,3.215,3.22
04/05/2005,3.22,3.23,3.22,3.22,3.22,3.22,3.22,3.22,3.23,3.22,3.22,3.22,3.225,3.22
05/05/2005,3.2285,3.23,3.23,3.23,3.225,3.225,3.225,3.22,3.23,3.23,3.23,3.23,3.228,3.22
06/05/2005,3.23,3.23,3.23,3.23,3.225,3.23,3.225,3.225,3.23,3.23,3.23,3.23,3.23,3.23
09/05/2005,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
10/05/2005,3.25,3.25,3.25,3.25,3.25,3.25,3.255,3.25,3.25,3.25,3.25,3.25,3.255,3.25
11/05/2005,3.26,3.26,3.26,3.25,3.26,3.26,3.265,3.26,3.26,3.26,3.25,3.26,3.26,3.26
12/05/2005,3.26813,3.27,3.27,3.26,3.27,3.27,3.27,3.27,3.26,3.27,3.27,3.26,3.265,3.27
13/05/2005,3.27,3.27,3.28,3.26,3.27,3.275,3.275,3.27,3.27,3.27,3.27,3.27,3.27,3.27
16/05/2005,3.27,3.27,3.27,3.27,3.27,3.27,3.275,3.27,3.27,3.28,3.27,3.27,3.27,3.27
